end_date,Avg Participants per Training,Average Rating
2017-12-31,2.0,7.666666666666667
2018-03-31,4.0,7.85
2018-06-30,4.8,8.5
2018-09-30,3.75,7.766666666666667
2018-12-31,3.2,7.989583333333333
2019-03-31,4.133333333333334,8.064516129032258
2019-06-30,4.230769230769231,8.10909090909091
2019-09-30,5.8,8.379310344827585
2019-12-31,3.6666666666666665,8.181818181818182
